Time,Node,Direction,Value
2025-02-28 22:15:39.401321728+00:00,W040,straight,11
2025-02-28 22:05:44.245141248+00:00,W040,right,2
2025-02-28 22:05:44.245141248+00:00,W040,straight,1
2025-02-28 21:54:43.431864832+00:00,W040,left,2
2025-02-28 21:54:43.431864832+00:00,W040,right,2
2025-02-28 21:54:43.431864832+00:00,W040,straight,22
2025-02-28 21:45:23.919413504+00:00,W040,right,3
2025-02-28 21:45:23.919413504+00:00,W040,straight,3
2025-02-28 21:34:23.863673856+00:00,W040,left,2
2025-02-28 21:34:23.863673856+00:00,W040,straight,18
2025-02-28 21:24:08.807157760+00:00,W040,straight,4
2025-02-28 21:13:23.616818176+00:00,W040,right,1
2025-02-28 21:13:23.616818176+00:00,W040,straight,10
2025-02-28 21:04:04.293175296+00:00,W040,right,1
2025-02-28 21:04:04.293175296+00:00,W040,straight,2
2025-02-28 20:53:49.701961728+00:00,W040,left,1
2025-02-28 20:53:49.701961728+00:00,W040,right,1
2025-02-28 20:53:49.701961728+00:00,W040,straight,4
2025-02-28 20:44:29.066265856+00:00,W040,right,4
2025-02-28 20:44:29.066265856+00:00,W040,straight,4
2025-02-28 20:34:38.837959168+00:00,W040,straight,38
2025-02-28 20:14:51.592998656+00:00,W040,left,1
2025-02-28 20:14:51.592998656+00:00,W040,right,1
2025-02-28 20:14:51.592998656+00:00,W040,straight,7
2025-02-28 20:05:57.997118208+00:00,W040,right,7
2025-02-28 20:05:57.997118208+00:00,W040,straight,3
2025-02-28 19:55:21.272718848+00:00,W040,left,2
2025-02-28 19:55:21.272718848+00:00,W040,straight,9
2025-02-28 19:45:52.585297664+00:00,W040,right,1
2025-02-28 19:45:52.585297664+00:00,W040,straight,1
2025-02-28 19:26:12.192093952+00:00,W040,right,3
2025-02-28 19:26:12.192093952+00:00,W040,straight,2
2025-02-28 19:15:54.005136896+00:00,W040,left,1
2025-02-28 19:15:54.005136896+00:00,W040,right,2
2025-02-28 19:15:54.005136896+00:00,W040,straight,17
2025-02-28 19:06:21.006520832+00:00,W040,straight,4
2025-02-28 18:56:02.073909248+00:00,W040,right,3
2025-02-28 18:56:02.073909248+00:00,W040,straight,30
2025-02-28 18:46:26.846702848+00:00,W040,right,1
2025-02-28 18:46:26.846702848+00:00,W040,straight,3
2025-02-28 18:36:59.661771776+00:00,W040,straight,1
2025-02-28 18:27:44.690652160+00:00,W040,right,2
2025-02-28 18:17:05.537808128+00:00,W040,left,3
2025-02-28 18:17:05.537808128+00:00,W040,right,2
2025-02-28 18:17:05.537808128+00:00,W040,straight,5
2025-02-28 18:07:58.995644416+00:00,W040,right,1
2025-02-28 18:07:58.995644416+00:00,W040,straight,2
2025-02-28 17:57:48.915445504+00:00,W040,left,2
2025-02-28 17:57:48.915445504+00:00,W040,straight,23
2025-02-28 17:48:12.038057216+00:00,W040,right,1
2025-02-28 17:48:12.038057216+00:00,W040,straight,6
2025-02-28 17:37:41.201987840+00:00,W040,left,2
2025-02-28 17:37:41.201987840+00:00,W040,right,3
2025-02-28 17:37:41.201987840+00:00,W040,straight,16
2025-02-28 17:28:50.232915200+00:00,W040,right,4
2025-02-28 17:28:50.232915200+00:00,W040,straight,2
2025-02-28 17:18:12.492543232+00:00,W040,left,1
2025-02-28 17:18:12.492543232+00:00,W040,right,2
2025-02-28 17:18:12.492543232+00:00,W040,straight,19
2025-02-28 17:08:59.291040768+00:00,W040,right,3
2025-02-28 17:08:59.291040768+00:00,W040,straight,3
2025-02-28 16:58:03.466763264+00:00,W040,left,3
2025-02-28 16:58:03.466763264+00:00,W040,right,1
2025-02-28 16:58:03.466763264+00:00,W040,straight,27
2025-02-28 16:48:25.020056064+00:00,W040,right,4
2025-02-28 16:48:25.020056064+00:00,W040,straight,4
2025-02-28 16:38:38.313593600+00:00,W040,left,2
2025-02-28 16:38:38.313593600+00:00,W040,straight,1
2025-02-28 16:29:33.321782272+00:00,W040,right,2
2025-02-28 16:19:50.780774144+00:00,W040,right,2
2025-02-28 16:19:50.780774144+00:00,W040,straight,15
2025-02-28 16:11:05.663429632+00:00,W040,right,1
2025-02-28 16:11:05.663429632+00:00,W040,straight,1
2025-02-28 16:00:51.159219456+00:00,W040,left,3
2025-02-28 16:00:51.159219456+00:00,W040,straight,14
2025-03-01 15:58:27.063693824+00:00,W046,left,1
2025-03-01 15:58:27.063693824+00:00,W046,right,1
2025-03-01 15:49:15.164087552+00:00,W046,left,4
2025-03-01 15:49:15.164087552+00:00,W046,straight,12
2025-03-01 15:39:15.717716224+00:00,W046,left,2
2025-03-01 15:39:15.717716224+00:00,W046,right,2
2025-03-01 15:39:15.717716224+00:00,W046,straight,2
2025-03-01 15:30:11.847006720+00:00,W046,left,2
2025-03-01 15:30:11.847006720+00:00,W046,right,2
2025-03-01 15:30:11.847006720+00:00,W046,straight,1
2025-03-01 15:20:18.167858432+00:00,W046,left,7
2025-03-01 15:20:18.167858432+00:00,W046,straight,9
2025-03-01 15:11:14.808903680+00:00,W046,left,2
2025-03-01 15:11:14.808903680+00:00,W046,straight,21
2025-03-01 15:02:02.594453248+00:00,W046,left,2
2025-03-01 15:02:02.594453248+00:00,W046,right,1
2025-03-01 15:02:02.594453248+00:00,W046,straight,1
2025-03-01 14:53:40.843346944+00:00,W046,right,1
2025-03-01 14:53:40.843346944+00:00,W046,straight,1
2025-03-01 14:43:43.816150016+00:00,W046,left,4
2025-03-01 14:43:43.816150016+00:00,W046,right,1
2025-03-01 14:43:43.816150016+00:00,W046,straight,7
2025-03-01 14:34:15.135379200+00:00,W046,right,2
2025-03-01 14:34:15.135379200+00:00,W046,straight,12
2025-03-01 14:24:40.054046464+00:00,W046,left,2
2025-03-01 14:24:40.054046464+00:00,W046,right,1
2025-03-01 14:15:59.515878400+00:00,W046,left,5
2025-03-01 14:15:59.515878400+00:00,W046,right,2
2025-03-01 14:15:59.515878400+00:00,W046,straight,9
2025-03-01 14:06:28.109084416+00:00,W046,left,3
2025-03-01 14:06:28.109084416+00:00,W046,straight,4
2025-03-01 13:57:39.907308544+00:00,W046,left,3
2025-03-01 13:57:39.907308544+00:00,W046,right,1
2025-03-01 13:57:39.907308544+00:00,W046,straight,11
2025-03-01 13:48:52.429641728+00:00,W046,left,1
2025-03-01 13:48:52.429641728+00:00,W046,straight,5
2025-03-01 13:39:21.446271232+00:00,W046,left,4
2025-03-01 13:39:21.446271232+00:00,W046,straight,8
2025-03-01 13:31:00.952401408+00:00,W046,right,1
2025-03-01 13:22:39.255862272+00:00,W046,right,1
2025-03-01 13:22:39.255862272+00:00,W046,straight,12
2025-03-01 13:14:31.384945664+00:00,W046,right,1
2025-03-01 12:58:44.228940032+00:00,W046,left,2
2025-03-01 12:58:44.228940032+00:00,W046,straight,3
2025-03-01 12:51:03.594429696+00:00,W046,left,1
2025-03-01 12:51:03.594429696+00:00,W046,right,2
2025-03-01 12:51:03.594429696+00:00,W046,straight,5
2025-03-01 12:42:40.750543872+00:00,W046,right,1
2025-03-01 12:33:59.416817664+00:00,W046,left,4
2025-03-01 12:33:59.416817664+00:00,W046,straight,3
2025-03-01 12:25:21.975550720+00:00,W046,left,2
2025-03-01 12:17:53.180646400+00:00,W046,straight,4
2025-03-01 12:10:12.163467264+00:00,W046,left,1
2025-03-01 12:10:12.163467264+00:00,W046,straight,2
2025-03-01 11:54:03.977130240+00:00,W046,right,3
2025-03-01 11:46:23.110925312+00:00,W046,straight,1
2025-03-01 11:38:43.328753664+00:00,W046,left,1
2025-03-01 11:15:55.249222400+00:00,W046,left,1
2025-03-01 11:15:55.249222400+00:00,W046,straight,3
2025-03-01 11:08:02.722299648+00:00,W046,left,1
2025-03-01 11:00:20.760141312+00:00,W046,straight,1
2025-03-01 10:53:02.769817344+00:00,W046,left,1
2025-03-01 10:53:02.769817344+00:00,W046,right,1
2025-03-01 10:45:39.619152896+00:00,W046,straight,1
2025-03-01 10:37:19.407273728+00:00,W046,straight,2
2025-03-01 10:21:37.325943296+00:00,W046,left,1
2025-03-01 10:13:57.957184768+00:00,W046,straight,2
2025-03-01 10:06:00.952509184+00:00,W046,straight,2
2025-03-01 09:58:20.328797440+00:00,W046,straight,1
2025-03-01 09:50:22.252421120+00:00,W046,left,2
2025-03-01 09:50:22.252421120+00:00,W046,right,1
2025-03-01 09:50:22.252421120+00:00,W046,straight,1
2025-03-01 09:35:47.958818816+00:00,W046,left,1
2025-03-01 09:28:09.202179584+00:00,W046,left,2
2025-03-01 09:28:09.202179584+00:00,W046,straight,3
2025-03-01 09:12:55.360229376+00:00,W046,straight,1
2025-03-01 09:05:17.262256640+00:00,W046,left,1
2025-03-01 08:58:01.883649024+00:00,W046,straight,3
2025-03-01 08:50:07.646281472+00:00,W046,left,2
2025-03-01 08:50:07.646281472+00:00,W046,right,1
2025-03-01 08:26:36.285159424+00:00,W046,straight,1
2025-03-01 08:10:50.257807104+00:00,W046,straight,1
2025-03-01 08:02:44.299792640+00:00,W046,right,1
2025-03-01 07:47:26.563638272+00:00,W046,left,2
2025-03-01 07:39:36.164047616+00:00,W046,left,2
2025-03-01 07:39:36.164047616+00:00,W046,straight,4
2025-03-01 07:31:43.883033088+00:00,W046,left,1
2025-03-01 07:31:43.883033088+00:00,W046,straight,1
2025-03-01 07:07:28.691302144+00:00,W046,left,4
2025-03-01 07:07:28.691302144+00:00,W046,straight,3
2025-03-01 06:59:19.857937408+00:00,W046,straight,1
2025-03-01 06:51:32.996525824+00:00,W046,left,1
2025-03-01 06:51:32.996525824+00:00,W046,straight,1
2025-03-01 06:43:22.177111552+00:00,W046,left,2
2025-03-01 06:43:22.177111552+00:00,W046,right,2
2025-03-01 06:43:22.177111552+00:00,W046,straight,1
2025-03-01 06:35:49.450327296+00:00,W046,left,3
2025-03-01 06:35:49.450327296+00:00,W046,straight,2
2025-03-01 06:27:43.755650816+00:00,W046,left,1
2025-03-01 06:27:43.755650816+00:00,W046,straight,1
2025-03-01 06:19:34.104572160+00:00,W046,left,2
2025-03-01 06:19:34.104572160+00:00,W046,straight,4
2025-03-01 06:12:19.538006528+00:00,W046,right,1
2025-03-01 06:04:16.976878080+00:00,W046,left,2
2025-03-01 06:04:16.976878080+00:00,W046,straight,7
